branch_code,voucher_id,voucher_no,voucher_type,voucher_date,line_no,ledger_code,ledger_name,debit,credit,party_code,party_name,payment_method,tax_bucket,narration,reference_no,created_at,modified_at
PILOT01,EG-B2C-EVID-01,B2C/2026/01,SALES_B2C,2026-04-10,1,LEDG-1002,Bank - Current Account,4500.00,0.00,,,UPI,GST18,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-01,2026-04-10T09:00:00+05:30,2026-04-10T09:00:00+05:30
PILOT01,EG-B2C-EVID-01,B2C/2026/01,SALES_B2C,2026-04-10,2,LEDG-1003,Sales Revenue - B2C,0.00,4500.00,,,UPI,GST18,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-01,2026-04-10T09:00:00+05:30,2026-04-10T09:00:00+05:30
PILOT01,EG-REC-002,REC/2026/002,RECEIPT,2026-04-10,1,LEDG-1001,Cash,5885.50,0.00,C-PARTY-002,Synthetic Customer 002,BANK,NA,Synthetic customer receipt (fixture),REF-REC-002,2026-04-10T09:00:00+05:30,2026-04-10T09:00:00+05:30
PILOT01,EG-REC-002,REC/2026/002,RECEIPT,2026-04-10,2,LEDG-1006,Accounts Receivable - Trade,0.00,5885.50,C-PARTY-002,Synthetic Customer 002,BANK,NA,Synthetic customer receipt (fixture),REF-REC-002,2026-04-10T09:00:00+05:30,2026-04-10T09:00:00+05:30
PILOT01,EG-PUR-003,PUR/2026/003,PURCHASE,2026-04-15,1,LEDG-1004,Purchases,24356.50,0.00,V-PARTY-003,Synthetic Vendor 003,,GST18,Synthetic purchase bill (fixture),REF-PUR-003,2026-04-15T09:00:00+05:30,2026-04-15T09:00:00+05:30
PILOT01,EG-PUR-003,PUR/2026/003,PURCHASE,2026-04-15,2,LEDG-1005,Accounts Payable - Trade,0.00,24356.50,V-PARTY-003,Synthetic Vendor 003,,GST18,Synthetic purchase bill (fixture),REF-PUR-003,2026-04-15T09:00:00+05:30,2026-04-15T09:00:00+05:30
PILOT01,V-BAD-UNBAL-01,PUR/2026/BAD-01,PURCHASE,2026-04-15,1,LEDG-1004,Purchases,8000.00,0.00,V-PARTY-001,Synthetic Vendor 001,,GST18,DEFECT: deliberately unbalanced voucher (fixture),REF-BAD-UNBAL-01,2026-04-15T09:00:00+05:30,2026-04-15T09:00:00+05:30
PILOT01,V-BAD-UNBAL-01,PUR/2026/BAD-01,PURCHASE,2026-04-15,2,LEDG-1005,Accounts Payable - Trade,0.00,6500.00,V-PARTY-001,Synthetic Vendor 001,,GST18,DEFECT: deliberately unbalanced voucher (fixture),REF-BAD-UNBAL-01,2026-04-15T09:00:00+05:30,2026-04-15T09:00:00+05:30
PILOT01,EG-JRN-002,JRN/2026/002,JOURNAL,2026-04-16,1,LEDG-1013,Journal Suspense,12238.00,0.00,,,,NA,Synthetic journal adjustment (fixture),REF-JRN-002,2026-04-16T09:00:00+05:30,2026-04-16T09:00:00+05:30
PILOT01,EG-JRN-002,JRN/2026/002,JOURNAL,2026-04-16,2,LEDG-1010,GST Payable,0.00,12238.00,,,,NA,Synthetic journal adjustment (fixture),REF-JRN-002,2026-04-16T09:00:00+05:30,2026-04-16T09:00:00+05:30
PILOT01,EG-REC-003,REC/2026/003,RECEIPT,2026-04-17,1,LEDG-1002,Bank - Current Account,6867.50,0.00,C-PARTY-003,Synthetic Customer 003,CREDIT,NA,Synthetic customer receipt (fixture),REF-REC-003,2026-04-17T09:00:00+05:30,2026-04-17T09:00:00+05:30
PILOT01,EG-REC-003,REC/2026/003,RECEIPT,2026-04-17,2,LEDG-1006,Accounts Receivable - Trade,0.00,6867.50,C-PARTY-003,Synthetic Customer 003,CREDIT,NA,Synthetic customer receipt (fixture),REF-REC-003,2026-04-17T09:00:00+05:30,2026-04-17T09:00:00+05:30
PILOT01,EG-B2C-EVID-02,B2C/2026/02,SALES_B2C,2026-04-18,1,LEDG-1002,Bank - Current Account,6200.50,0.00,,,CARD,GST12,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-02,2026-04-18T09:00:00+05:30,2026-04-18T09:00:00+05:30
PILOT01,EG-B2C-EVID-02,B2C/2026/02,SALES_B2C,2026-04-18,2,LEDG-1003,Sales Revenue - B2C,0.00,6200.50,,,CARD,GST12,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-02,2026-04-18T09:00:00+05:30,2026-04-18T09:00:00+05:30
PILOT01,V-BAD-ORPHAN-01,JRN/2026/BAD-01,JOURNAL,2026-04-20,1,LEDG-1007,Office Expenses,3200.00,0.00,,,,,DEFECT: orphan ledger on the other leg (fixture),REF-BAD-ORPHAN-01,2026-04-20T09:00:00+05:30,2026-04-20T09:00:00+05:30
PILOT01,V-BAD-ORPHAN-01,JRN/2026/BAD-01,JOURNAL,2026-04-20,2,LEDG-9001,Contingency Reserve (Unregistered),0.00,3200.00,,,,,DEFECT: ledger_code absent from trial_balance.csv (fixture),REF-BAD-ORPHAN-01,2026-04-20T09:00:00+05:30,2026-04-20T09:00:00+05:30
PILOT01,EG-DRN-001,DRN/2026/001,DEBIT_NOTE,2026-04-21,1,LEDG-1005,Accounts Payable - Trade,1705.50,0.00,V-PARTY-001,Synthetic Vendor 001,,GST5,Synthetic vendor debit note (fixture),REF-DRN-001,2026-04-21T09:00:00+05:30,2026-04-21T09:00:00+05:30
PILOT01,EG-DRN-001,DRN/2026/001,DEBIT_NOTE,2026-04-21,2,LEDG-1012,Purchase Returns,0.00,1705.50,V-PARTY-001,Synthetic Vendor 001,,GST5,Synthetic vendor debit note (fixture),REF-DRN-001,2026-04-21T09:00:00+05:30,2026-04-21T09:00:00+05:30
PILOT01,EG-PUR-004,PUR/2026/004,PURCHASE,2026-04-22,1,LEDG-1004,Purchases,15515.50,0.00,V-PARTY-004,Synthetic Vendor 004,,EXEMPT,Synthetic purchase bill (fixture),REF-PUR-004,2026-04-22T09:00:00+05:30,2026-04-22T09:00:00+05:30
PILOT01,EG-PUR-004,PUR/2026/004,PURCHASE,2026-04-22,2,LEDG-1005,Accounts Payable - Trade,0.00,15515.50,V-PARTY-004,Synthetic Vendor 004,,EXEMPT,Synthetic purchase bill (fixture),REF-PUR-004,2026-04-22T09:00:00+05:30,2026-04-22T09:00:00+05:30
PILOT01,EG-REC-004,REC/2026/004,RECEIPT,2026-04-24,1,LEDG-1001,Cash,21640.00,0.00,C-PARTY-004,Synthetic Customer 004,WALLET,NA,Synthetic customer receipt (fixture),REF-REC-004,2026-04-24T09:00:00+05:30,2026-04-24T09:00:00+05:30
PILOT01,EG-REC-004,REC/2026/004,RECEIPT,2026-04-24,2,LEDG-1006,Accounts Receivable - Trade,0.00,21640.00,C-PARTY-004,Synthetic Customer 004,WALLET,NA,Synthetic customer receipt (fixture),REF-REC-004,2026-04-24T09:00:00+05:30,2026-04-24T09:00:00+05:30
PILOT01,V-BAD-DUPLINE-01,CON/2026/BAD-01,CONTRA,2026-04-25,1,LEDG-1001,Cash,1200.00,0.00,,,,,DEFECT: duplicated source row (fixture),REF-BAD-DUPLINE-01,2026-04-25T09:00:00+05:30,2026-04-25T09:00:00+05:30
PILOT01,V-BAD-DUPLINE-01,CON/2026/BAD-01,CONTRA,2026-04-25,1,LEDG-1001,Cash,1200.00,0.00,,,,,DEFECT: duplicated source row (fixture),REF-BAD-DUPLINE-01,2026-04-25T09:00:00+05:30,2026-04-25T09:00:00+05:30
PILOT01,V-BAD-DUPLINE-01,CON/2026/BAD-01,CONTRA,2026-04-25,2,LEDG-1002,Bank - Current Account,0.00,1200.00,,,,,DEFECT: duplicated source row (fixture),REF-BAD-DUPLINE-01,2026-04-25T09:00:00+05:30,2026-04-25T09:00:00+05:30
PILOT01,EG-DRN-002,DRN/2026/002,DEBIT_NOTE,2026-04-28,1,LEDG-1005,Accounts Payable - Trade,1133.50,0.00,V-PARTY-002,Synthetic Vendor 002,,GST12,Synthetic vendor debit note (fixture),REF-DRN-002,2026-04-28T09:00:00+05:30,2026-04-28T09:00:00+05:30
PILOT01,EG-DRN-002,DRN/2026/002,DEBIT_NOTE,2026-04-28,2,LEDG-1012,Purchase Returns,0.00,1133.50,V-PARTY-002,Synthetic Vendor 002,,GST12,Synthetic vendor debit note (fixture),REF-DRN-002,2026-04-28T09:00:00+05:30,2026-04-28T09:00:00+05:30
PILOT01,EG-PAY-001,PAY/2026/001,PAYMENT,2026-04-29,1,LEDG-1005,Accounts Payable - Trade,37346.50,0.00,V-PARTY-001,Synthetic Vendor 001,CASH,NA,Synthetic vendor payment (fixture),REF-PAY-001,2026-04-29T09:00:00+05:30,2026-04-29T09:00:00+05:30
PILOT01,EG-PAY-001,PAY/2026/001,PAYMENT,2026-04-29,2,LEDG-1002,Bank - Current Account,0.00,37346.50,V-PARTY-001,Synthetic Vendor 001,CASH,NA,Synthetic vendor payment (fixture),REF-PAY-001,2026-04-29T09:00:00+05:30,2026-04-29T09:00:00+05:30
PILOT01,EG-REC-005,REC/2026/005,RECEIPT,2026-05-01,1,LEDG-1002,Bank - Current Account,10284.00,0.00,C-PARTY-005,Synthetic Customer 005,OTHER,NA,Synthetic customer receipt (fixture),REF-REC-005,2026-05-01T09:00:00+05:30,2026-05-01T09:00:00+05:30
PILOT01,EG-REC-005,REC/2026/005,RECEIPT,2026-05-01,2,LEDG-1006,Accounts Receivable - Trade,0.00,10284.00,C-PARTY-005,Synthetic Customer 005,OTHER,NA,Synthetic customer receipt (fixture),REF-REC-005,2026-05-01T09:00:00+05:30,2026-05-01T09:00:00+05:30
PILOT01,EG-DRN-003,DRN/2026/003,DEBIT_NOTE,2026-05-05,1,LEDG-1005,Accounts Payable - Trade,4298.00,0.00,V-PARTY-003,Synthetic Vendor 003,,GST18,Synthetic vendor debit note (fixture),REF-DRN-003,2026-05-05T09:00:00+05:30,2026-05-05T09:00:00+05:30
PILOT01,EG-DRN-003,DRN/2026/003,DEBIT_NOTE,2026-05-05,2,LEDG-1012,Purchase Returns,0.00,4298.00,V-PARTY-003,Synthetic Vendor 003,,GST18,Synthetic vendor debit note (fixture),REF-DRN-003,2026-05-05T09:00:00+05:30,2026-05-05T09:00:00+05:30
PILOT01,EG-EXP-004,EXP/2026/004,EXPENSE,2026-05-05,1,LEDG-1099,Misc Expense - Unmapped,1750.00,0.00,,,,EXEMPT,Synthetic misc expense — ledger intentionally unmapped (fixture),REF-EXP-004,2026-05-05T09:00:00+05:30,2026-05-05T09:00:00+05:30
PILOT01,EG-EXP-004,EXP/2026/004,EXPENSE,2026-05-05,2,LEDG-1001,Cash,0.00,1750.00,,,,EXEMPT,Synthetic misc expense — ledger intentionally unmapped (fixture),REF-EXP-004,2026-05-05T09:00:00+05:30,2026-05-05T09:00:00+05:30
PILOT01,EG-PAY-002,PAY/2026/002,PAYMENT,2026-05-06,1,LEDG-1005,Accounts Payable - Trade,10966.00,0.00,V-PARTY-002,Synthetic Vendor 002,CARD,NA,Synthetic vendor payment (fixture),REF-PAY-002,2026-05-06T09:00:00+05:30,2026-05-06T09:00:00+05:30
PILOT01,EG-PAY-002,PAY/2026/002,PAYMENT,2026-05-06,2,LEDG-1001,Cash,0.00,10966.00,V-PARTY-002,Synthetic Vendor 002,CARD,NA,Synthetic vendor payment (fixture),REF-PAY-002,2026-05-06T09:00:00+05:30,2026-05-06T09:00:00+05:30
PILOT01,EG-REC-006,REC/2026/006,RECEIPT,2026-05-08,1,LEDG-1001,Cash,33685.50,0.00,C-PARTY-006,Synthetic Customer 006,CASH,NA,Synthetic customer receipt (fixture),REF-REC-006,2026-05-08T09:00:00+05:30,2026-05-08T09:00:00+05:30
PILOT01,EG-REC-006,REC/2026/006,RECEIPT,2026-05-08,2,LEDG-1006,Accounts Receivable - Trade,0.00,33685.50,C-PARTY-006,Synthetic Customer 006,CASH,NA,Synthetic customer receipt (fixture),REF-REC-006,2026-05-08T09:00:00+05:30,2026-05-08T09:00:00+05:30
PILOT01,EG-STK-001,STK/2026/001,STOCK_ADJ,2026-05-08,1,LEDG-1009,Inventory - Stock,2500.00,0.00,,,,NA,Synthetic inventory write-off adjustment (fixture),REF-EG-STK-001,2026-05-08T09:00:00+05:30,2026-05-08T09:00:00+05:30
PILOT01,EG-STK-001,STK/2026/001,STOCK_ADJ,2026-05-08,2,LEDG-1013,Journal Suspense,0.00,2500.00,,,,NA,Synthetic inventory write-off adjustment (fixture),REF-EG-STK-001,2026-05-08T09:00:00+05:30,2026-05-08T09:00:00+05:30
PILOT01,EG-B2C-EVID-03,B2C/2026/03,SALES_B2C,2026-05-12,1,LEDG-1001,Cash,3100.00,0.00,,,CASH,GST5,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-03,2026-05-12T09:00:00+05:30,2026-05-12T09:00:00+05:30
PILOT01,EG-B2C-EVID-03,B2C/2026/03,SALES_B2C,2026-05-12,2,LEDG-1003,Sales Revenue - B2C,0.00,3100.00,,,CASH,GST5,Synthetic B2C daily sales summary (fixture),REF-EG-B2C-EVID-03,2026-05-12T09:00:00+05:30,2026-05-12T09:00:00+05:30
PILOT01,EG-PAY-003,PAY/2026/003,PAYMENT,2026-05-13,1,LEDG-1005,Accounts Payable - Trade,12658.00,0.00,V-PARTY-003,Synthetic Vendor 003,UPI,NA,Synthetic vendor payment (fixture),REF-PAY-003,2026-05-13T09:00:00+05:30,2026-05-13T09:00:00+05:30
PILOT01,EG-PAY-003,PAY/2026/003,PAYMENT,2026-05-13,2,LEDG-1002,Bank - Current Account,0.00,12658.00,V-PARTY-003,Synthetic Vendor 003,UPI,NA,Synthetic vendor payment (fixture),REF-PAY-003,2026-05-13T09:00:00+05:30,2026-05-13T09:00:00+05:30
PILOT01,EG-EXP-001,EXP/2026/001,EXPENSE,2026-05-15,1,LEDG-1007,Office Expenses,7259.50,0.00,,,,GST5,Synthetic direct expense (fixture),REF-EXP-001,2026-05-15T09:00:00+05:30,2026-05-15T09:00:00+05:30
PILOT01,EG-EXP-001,EXP/2026/001,EXPENSE,2026-05-15,2,LEDG-1001,Cash,0.00,7259.50,,,,GST5,Synthetic direct expense (fixture),REF-EXP-001,2026-05-15T09:00:00+05:30,2026-05-15T09:00:00+05:30
PILOT01,EG-CRN-001,CRN/2026/001,CREDIT_NOTE,2026-05-17,1,LEDG-1011,Sales Returns,11360.00,0.00,C-PARTY-001,Synthetic Customer 001,,GST5,Synthetic customer credit note (fixture),REF-CRN-001,2026-05-17T09:00:00+05:30,2026-05-17T09:00:00+05:30
PILOT01,EG-CRN-001,CRN/2026/001,CREDIT_NOTE,2026-05-17,2,LEDG-1006,Accounts Receivable - Trade,0.00,11360.00,C-PARTY-001,Synthetic Customer 001,,GST5,Synthetic customer credit note (fixture),REF-CRN-001,2026-05-17T09:00:00+05:30,2026-05-17T09:00:00+05:30
PILOT01,EG-CON-001,CON/2026/001,CONTRA,2026-05-19,1,LEDG-1001,Cash,3475.50,0.00,,,,,Synthetic cash/bank contra (fixture),REF-CON-001,2026-05-19T09:00:00+05:30,2026-05-19T09:00:00+05:30
PILOT01,EG-CON-001,CON/2026/001,CONTRA,2026-05-19,2,LEDG-1002,Bank - Current Account,0.00,3475.50,,,,,Synthetic cash/bank contra (fixture),REF-CON-001,2026-05-19T09:00:00+05:30,2026-05-19T09:00:00+05:30
PILOT01,EG-PAY-004,PAY/2026/004,PAYMENT,2026-05-20,1,LEDG-1005,Accounts Payable - Trade,4022.00,0.00,V-PARTY-004,Synthetic Vendor 004,BANK,NA,Synthetic vendor payment (fixture),REF-PAY-004,2026-05-20T09:00:00+05:30,2026-05-20T09:00:00+05:30
PILOT01,EG-PAY-004,PAY/2026/004,PAYMENT,2026-05-20,2,LEDG-1001,Cash,0.00,4022.00,V-PARTY-004,Synthetic Vendor 004,BANK,NA,Synthetic vendor payment (fixture),REF-PAY-004,2026-05-20T09:00:00+05:30,2026-05-20T09:00:00+05:30
PILOT01,V-BAD-LATEMOD-01,EXP/2026/BAD-01,EXPENSE,2026-05-20,1,LEDG-1007,Office Expenses,2200.00,0.00,,,,GST5,DEFECT: back-posted after live cutover (fixture),REF-BAD-LATEMOD-01,2026-05-20T11:00:00+05:30,2026-06-03T10:15:00+05:30
PILOT01,V-BAD-LATEMOD-01,EXP/2026/BAD-01,EXPENSE,2026-05-20,2,LEDG-1001,Cash,0.00,2200.00,,,,GST5,DEFECT: back-posted after live cutover (fixture),REF-BAD-LATEMOD-01,2026-05-20T11:00:00+05:30,2026-06-03T10:15:00+05:30
PILOT01,EG-B2C-NOEVID-01,B2C/2026/NE,SALES_B2C,2026-05-22,1,LEDG-1002,Bank - Current Account,5000.00,0.00,,,BANK,GST18,Synthetic B2C daily sales summary — no SP evidence (fixture),REF-EG-B2C-NOEVID-01,2026-05-22T09:00:00+05:30,2026-05-22T09:00:00+05:30
PILOT01,EG-B2C-NOEVID-01,B2C/2026/NE,SALES_B2C,2026-05-22,2,LEDG-1003,Sales Revenue - B2C,0.00,5000.00,,,BANK,GST18,Synthetic B2C daily sales summary — no SP evidence (fixture),REF-EG-B2C-NOEVID-01,2026-05-22T09:00:00+05:30,2026-05-22T09:00:00+05:30
PILOT01,EG-EXP-002,EXP/2026/002,EXPENSE,2026-05-22,1,LEDG-1008,Utilities Expenses,5970.00,0.00,,,,EXEMPT,Synthetic direct expense (fixture),REF-EXP-002,2026-05-22T09:00:00+05:30,2026-05-22T09:00:00+05:30
PILOT01,EG-EXP-002,EXP/2026/002,EXPENSE,2026-05-22,2,LEDG-1001,Cash,0.00,5970.00,,,,EXEMPT,Synthetic direct expense (fixture),REF-EXP-002,2026-05-22T09:00:00+05:30,2026-05-22T09:00:00+05:30
PILOT01,EG-CRN-002,CRN/2026/002,CREDIT_NOTE,2026-05-24,1,LEDG-1011,Sales Returns,8096.00,0.00,C-PARTY-002,Synthetic Customer 002,,GST12,Synthetic customer credit note (fixture),REF-CRN-002,2026-05-24T09:00:00+05:30,2026-05-24T09:00:00+05:30
PILOT01,EG-CRN-002,CRN/2026/002,CREDIT_NOTE,2026-05-24,2,LEDG-1006,Accounts Receivable - Trade,0.00,8096.00,C-PARTY-002,Synthetic Customer 002,,GST12,Synthetic customer credit note (fixture),REF-CRN-002,2026-05-24T09:00:00+05:30,2026-05-24T09:00:00+05:30
PILOT01,EG-CON-002,CON/2026/002,CONTRA,2026-05-26,1,LEDG-1002,Bank - Current Account,17952.50,0.00,,,,,Synthetic cash/bank contra (fixture),REF-CON-002,2026-05-26T09:00:00+05:30,2026-05-26T09:00:00+05:30
PILOT01,EG-CON-002,CON/2026/002,CONTRA,2026-05-26,2,LEDG-1001,Cash,0.00,17952.50,,,,,Synthetic cash/bank contra (fixture),REF-CON-002,2026-05-26T09:00:00+05:30,2026-05-26T09:00:00+05:30
PILOT01,EG-PAY-005,PAY/2026/005,PAYMENT,2026-05-27,1,LEDG-1005,Accounts Payable - Trade,36234.50,0.00,V-PARTY-005,Synthetic Vendor 005,CREDIT,NA,Synthetic vendor payment (fixture),REF-PAY-005,2026-05-27T09:00:00+05:30,2026-05-27T09:00:00+05:30
PILOT01,EG-PAY-005,PAY/2026/005,PAYMENT,2026-05-27,2,LEDG-1002,Bank - Current Account,0.00,36234.50,V-PARTY-005,Synthetic Vendor 005,CREDIT,NA,Synthetic vendor payment (fixture),REF-PAY-005,2026-05-27T09:00:00+05:30,2026-05-27T09:00:00+05:30
PILOT01,EG-EXP-003,EXP/2026/003,EXPENSE,2026-05-29,1,LEDG-1007,Office Expenses,1859.00,0.00,,,,GST5,Synthetic direct expense (fixture),REF-EXP-003,2026-05-29T09:00:00+05:30,2026-05-29T09:00:00+05:30
PILOT01,EG-EXP-003,EXP/2026/003,EXPENSE,2026-05-29,2,LEDG-1001,Cash,0.00,1859.00,,,,GST5,Synthetic direct expense (fixture),REF-EXP-003,2026-05-29T09:00:00+05:30,2026-05-29T09:00:00+05:30
PILOT01,EG-CRN-003,CRN/2026/003,CREDIT_NOTE,2026-05-31,1,LEDG-1011,Sales Returns,7482.00,0.00,C-PARTY-003,Synthetic Customer 003,,GST18,Synthetic customer credit note (fixture),REF-CRN-003,2026-05-31T09:00:00+05:30,2026-05-31T09:00:00+05:30
PILOT01,EG-CRN-003,CRN/2026/003,CREDIT_NOTE,2026-05-31,2,LEDG-1006,Accounts Receivable - Trade,0.00,7482.00,C-PARTY-003,Synthetic Customer 003,,GST18,Synthetic customer credit note (fixture),REF-CRN-003,2026-05-31T09:00:00+05:30,2026-05-31T09:00:00+05:30
PILOT01,EG-B2C-AFTERCUTOVER-01,B2C/2026/AC,SALES_B2C,2026-06-02,1,LEDG-1001,Cash,7000.00,0.00,,,CASH,GST18,Synthetic B2C daily sales summary — after live cutover (fixture),REF-EG-B2C-AFTERCUTOVER-01,2026-06-02T09:00:00+05:30,2026-06-02T09:00:00+05:30
PILOT01,EG-B2C-AFTERCUTOVER-01,B2C/2026/AC,SALES_B2C,2026-06-02,2,LEDG-1003,Sales Revenue - B2C,0.00,7000.00,,,CASH,GST18,Synthetic B2C daily sales summary — after live cutover (fixture),REF-EG-B2C-AFTERCUTOVER-01,2026-06-02T09:00:00+05:30,2026-06-02T09:00:00+05:30
